Income,Customer_Seniority,Numwebvisitsmonth,Id,Total_Children,Customer_Seniority_Days
48855,2012-08-21,11,6beb1eea-2343-42c1-9881-378c64cf08e5,3,862
14091,2012-03-23,15,6155f7ed-fc77-4de5-8f66-386c9a85d74a,3,1013
49376,2012-11-21,18,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,3,770
141524,2012-01-10,32,89d515a3-7191-4a7c-b166-692bd3eb0e2e,3,1086
139751,2012-06-23,15,d43355a7-b518-46f4-8713-b9daba3e586f,2,921
175358,2012-07-27,8,b575bf38-fde5-4980-a253-e5d2a7c6622d,3,887
43378,2012-01-13,14,fc488ebf-de25-4108-a5e0-881010bcb6db,1,1083
171806,2012-04-01,26,a53d19c6-cc04-4e56-936c-2af714cb0691,3,1004
82735,2012-09-15,5,b49bf23e-16c4-4e10-8bad-cff8277af141,3,837
21488,2012-07-13,29,3cd59535-e982-46ec-8bdb-5540b42f98c7,3,901
165897,2012-11-28,3,b9e57bd9-32b6-48db-be0b-399968bb4458,3,763
20845,2012-09-27,1,c70bda4e-ab87-48ad-a248-c654a465ba18,4,825
42782,2012-05-14,15,df2754f0-ab9d-4392-969f-255be30bcf95,1,961
140136,2012-07-18,14,4c4427bf-a4b4-4127-a461-a0db67bb5508,4,896
76853,2012-11-12,23,356fc69e-a248-4af2-ae28-c2c8d3aa779d,2,779
61337,2012-02-24,7,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707,1,1041
178376,2012-06-10,18,4d0f692b-c599-45a2-b496-3b4fb0ca3a41,2,934
83568,2012-01-06,18,d8ea4803-4a98-402e-a522-03302ef278b5,2,1090
114438,2012-06-06,32,472c21b6-733b-448a-b97e-0899d471b051,1,938
128341,2012-10-29,13,c2c2c999-1f3d-48ac-9a17-562777356f88,2,793
26244,2012-05-18,16,f9b67e3e-db2e-4089-85e1-df5462319653,2,957
130764,2012-03-30,8,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7,1,1006
141859,2012-02-06,4,c5bee864-d04c-4e58-a813-8239b67d6345,3,1059
55445,2012-10-05,21,c9264446-deae-4147-87a6-7f6d53a50af0,2,817
77947,2012-04-29,11,5df79f8e-3ec3-48f9-bbff-b21447c79099,2,976
67439,2012-03-05,9,6444da89-9436-4b09-ad38-159551c260e3,1,1031
80033,2012-01-15,11,6e4cd355-435a-4d7b-b2f5-92d64c706a05,0,1081
93745,2012-07-16,27,d3fd430a-83ab-48fb-ad0f-29219a273d56,2,898
51945,2012-05-16,32,52fe0cf8-74be-4760-a5fe-ac78c82cfe52,2,959
177873,2012-07-13,11,fd488945-dcb1-4c93-ae06-2b2378db0bd0,0,901
121966,2012-08-08,31,983b0a18-7d54-4900-bc06-ba7b30e17f49,2,875
167586,2012-02-12,18,be6c8341-fb40-4158-8d62-81fb98648760,1,1053
70480,2012-08-19,13,f583f88c-58de-40db-bcae-b2b9105fa153,3,864
18714,2012-08-10,23,cc1029bd-87da-4de0-8735-a3b090df62c0,4,873
74584,2012-08-27,14,cf01e33c-2eb7-4020-8c72-879d3489bfa1,1,856
7462,2012-08-20,21,e6382798-c0b1-4337-af1b-ee9196f5c831,4,863
153359,2012-11-15,9,d3ea4624-cbe7-40bf-8324-cc3c763f0e80,2,776
138685,2012-12-25,20,d652e74e-8e59-4eb0-ada7-512f3d11ea40,2,736
116608,2012-07-20,13,18060794-5ed8-44ab-8b30-ceb9cc3222fd,1,894
14417,2012-07-30,1,360a3c07-d566-4079-9550-6c6c6422f5f2,1,884
99031,2012-08-28,21,1246ce73-1096-4b01-b971-0bffb7ca7fee,0,855
93507,2012-10-19,15,01fe1411-bb08-4ae3-8252-0e7385580955,3,803
68707,2012-02-09,16,1a7cb055-189b-4261-a521-bd11ec6ab304,1,1056
119162,2012-07-09,1,a068e668-ee92-47ab-94b3-2c6f0660c267,1,905
74474,2012-09-04,13,1d488b7c-d680-4210-87f4-caab6d9ee03f,3,848
111496,2012-02-18,19,27c0a2c1-7538-4097-a0c8-501fbf55dfee,2,1047
95189,2012-07-18,22,3e29229f-9ee7-455c-b623-63250793db56,0,896
45768,2012-06-17,21,8e84714f-4768-41e6-bc2b-2dff581e12b8,2,927
122783,2012-11-03,3,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56,0,788
98678,2012-12-02,31,9eada552-2e0f-4e25-bc52-86b419bcf3b8,0,759
21072,2012-07-09,21,3da2368a-8b67-4b7e-bf51-0499b71369dc,0,905
60378,2012-09-14,18,c96f9121-6f02-44bd-aa3c-4da573414177,3,838
145871,2012-08-13,8,73dae94a-e882-4845-aa30-0aaff25d2a17,2,870
109725,2012-08-03,13,7aa43513-2461-455c-9430-9afb22f3a22d,1,880
96711,2012-03-07,29,18b0c404-331a-4a68-90bc-0494a082f62d,0,1029
12244,2012-01-26,28,012204f4-fca9-4bcb-a64d-808135727728,0,1070
36606,2012-06-27,27,33803ffa-fb03-4f0f-9f5c-3f2b9a28bc93,2,917
154051,2012-11-09,18,834fda51-1ba3-4290-8be6-b59479dfb43b,4,782
29727,2012-09-28,2,4dfcd68a-ccd2-4388-812c-c243a4b60254,3,824
54061,2012-05-23,7,f2ab895d-7487-4b68-b9e8-7ab8e734bd47,4,952
127139,2012-02-11,1,9375d7ce-9370-402c-aed1-a4c1e814aaba,0,1054
85638,2012-12-22,15,5c79786f-6162-4496-8a30-b681f4115768,1,739
170502,2012-10-22,3,ccb97836-0739-467e-bc99-d030ae3b52e4,0,800
50221,2012-09-26,5,383c6463-0de7-4a43-a1c1-bbd1203af6dd,4,826
163061,2012-02-21,7,026d1365-12d4-4fec-b398-139a59b46d8d,1,1044
155704,2012-04-15,28,f010a64d-46ea-4e74-9c20-c0b18f55a756,3,990
20900,2012-01-25,8,1e0c7084-f1b2-439a-bcba-5e23fc340b4c,0,1071
51445,2012-03-14,13,0ffac745-9207-4b6b-9503-f9138b19a806,0,1022
91718,2012-04-27,28,dd49237a-fec1-4149-ba1e-672559cfe5ef,1,978
117747,2012-10-07,18,572a2e0f-6455-4e0b-9025-20576e2c4c6c,3,815
36342,2012-09-30,11,4036772a-d870-4694-b71b-d95ff95f5d58,2,822
162740,2012-07-17,22,0616394c-03be-45be-b1c0-648ac058cdb3,1,897
102425,2012-11-09,25,01348114-d159-4dbf-9b3d-cf682d9150c7,1,782
95045,2012-09-20,32,0d9c6d8c-08ac-45b0-8a13-9db62596d88d,3,832
64631,2012-10-05,13,044183b7-4e50-4b68-9e9e-cd45f37144d5,3,817
28884,2012-09-10,11,dd697c4c-dbbc-4178-b519-997f82e4ef78,4,842
102262,2012-09-10,23,ebb5a7da-41b6-43e7-a392-16dee3631ebd,2,842
126164,2012-10-24,21,ec24561c-d530-446b-8756-c91ca2822e71,3,798
96497,2012-09-10,31,539a554c-0432-43f1-99e5-e96610088b3c,1,842
134274,2012-11-28,1,9615fdd6-3e94-4e42-87c2-8bd7433e77e8,2,763
85870,2012-06-13,16,d2118bc5-42a8-4e57-9c51-3a3606f58353,1,931
50634,2012-03-19,26,d1a54bc7-e470-42cf-8661-815cf7c95eb4,2,1017
7888,2012-03-19,24,01e82e78-a7e3-4189-98e6-53acbe30582b,4,1017
85274,2012-12-12,5,62cd0f07-0a57-4288-b485-df5984361fcd,3,749
169322,2012-09-19,1,59f10b5e-f282-4c16-aa69-53f101088f27,1,833
106503,2012-06-20,16,091e4503-9fff-4a60-8050-9f56a0390aea,1,924
126858,2012-11-29,9,5a23a54e-1290-4b3b-a2c3-bafe6d0536c4,3,762
130178,2012-10-22,13,fc5bce08-121f-46ea-af15-58252a87ece3,3,800
80424,2012-09-03,21,4e572940-5cec-46d1-90ab-9792194859bb,2,849
51265,2012-05-14,12,5d3a50ca-b167-40f9-98b1-bff26790bdde,0,961
104559,2012-08-23,10,030c5ca6-e6e8-4548-90f3-e5363acffdab,1,860
33226,2012-09-23,16,5e68aacd-98c0-4d84-a753-9520c5532066,2,829
10184,2012-02-13,32,22f37639-235e-4d3b-9e97-ec583df4056e,2,1052
156831,2012-06-08,10,718562b1-156d-4462-b99b-f30380495443,2,936
31763,2012-12-26,24,6de79392-f49a-41a2-98f1-cfdcdf80dd08,3,735
64183,2012-11-06,12,1c6aa6a6-14df-49cb-b790-7367ccf09592,1,785
134200,2012-12-19,24,fc8c31b4-7989-43f6-895b-3f377f4e33d6,2,742
105920,2012-08-30,30,fa3921cc-578c-4978-b680-4ea6a7c50c68,1,853
39463,2012-11-09,14,f41b6383-8ed5-4b60-a670-a58ca41fc719,4,782
21484,2012-04-19,31,087536ed-a062-4bf4-970f-c0e191c7a258,2,986
45847,2012-12-25,16,db3cced7-eb3c-46b2-80c3-3d4f5ff8f5e9,4,736
86345,2012-01-04,22,a775580f-d9cc-4cca-8c1e-4ed986bc9bb9,2,1092
83962,2012-03-12,5,b3743a64-d18c-424c-835f-d2f9adff5ace,1,1024
105105,2012-06-21,1,8ac57645-1536-4f7b-8c73-4e5aa28771a3,4,923
164145,2012-11-17,8,c45a383e-7730-4116-ba01-ee6a30a50347,2,774
106467,2012-05-01,30,a4f268b0-9061-41e2-a086-a3c1e2156e91,3,974
167719,2012-09-07,19,bf1c8418-4fbf-48b5-ad27-9ace4d0c8fab,2,845
67423,2012-08-22,6,7f92b9ec-e3ab-487b-8a33-261442035f66,3,861
112397,2012-05-30,1,489bf293-8375-4110-9d0a-2da3c4480496,2,945
146893,2012-07-01,9,cddc7603-d517-4f50-b402-ab8bcc5b2c5b,4,913
56252,2012-04-07,32,325be9d0-fe55-48ed-9113-77d59f3f2a11,2,998
16214,2012-03-06,23,280bab58-eaef-4f53-88e3-b22d5f30e314,4,1030
108022,2012-05-14,29,3bb358f3-be88-4137-85e0-37c26149347e,0,961
6769,2012-02-27,23,e480cd3c-fbe4-4ef0-ac07-6fe2946ddfa0,3,1038
39731,2012-01-26,25,1c6dd19a-2ab2-414f-9e95-a50cdcb0f96f,1,1070
103926,2012-07-22,25,6c1fb154-e060-47b5-862f-aefdc788048e,2,892
51840,2012-07-03,25,a124f433-d340-4283-a821-95d06734804e,3,911
64554,2012-08-31,19,246bd60a-a637-4506-9dda-1c1fd1e31fe6,3,852
122612,2012-08-09,20,989b1fa2-7881-4c22-ad5b-cdeecfd90527,3,874
47444,2012-01-22,13,e0db48ca-db04-4e0c-9dcd-cfc09bb9030f,3,1074
112443,2012-05-13,3,8562a4a1-824a-4d5b-9ca8-473e46adaaec,1,962
173802,2012-03-16,30,43877501-9cd6-4995-a34f-e6f0b3553a67,2,1020
134003,2012-12-23,19,a60f146d-2d4a-455c-8998-1c69454bafd9,2,738
118281,2012-05-08,8,655c3814-8c76-4e4a-86c3-5649e78d39dc,2,967
80885,2012-09-29,22,3db48d5b-2a9d-4e33-ae29-6962e24e221b,3,823
152416,2012-12-12,4,cd9c19c5-2baa-417c-8001-cff4488464ca,2,749
65564,2012-01-11,6,316f6781-4bb5-4961-b96f-0f0d3f364ded,3,1085
35413,2012-01-21,27,4ac61f30-854f-45fc-a435-bd6e496aeeed,2,1075
56344,2012-07-08,32,1bea2af4-dee9-4c7a-b8fe-b5882d180c8e,2,906
60989,2012-01-23,10,2890b131-f37c-49b9-8033-d3ad8c4404bf,2,1073
178385,2012-02-28,7,27d8d70d-6429-485a-b85f-ad4c9baa886f,2,1037
99232,2012-05-19,8,cdf9576b-831a-4992-812d-1b22a95e0450,4,956
134200,2012-01-12,9,534573ec-25eb-4a54-887d-eccdc9fbcde2,2,1084
76605,2012-11-10,8,c3c4df9f-85a8-4008-b1df-6571cafdef0f,4,781
127797,2012-11-04,7,b6fb4f6b-96f6-40b9-bd02-16fb8908667c,3,787
144023,2012-09-29,31,d76843d2-2b23-4458-b29c-8ed33eb409a9,4,823
33535,2012-12-10,16,0b8655ab-b808-436f-baeb-0773d458f5f6,3,751
166017,2012-03-24,32,bf7ab845-4c7a-4d8a-85c4-fb5c63a77a5d,2,1012
35525,2012-10-21,19,2700c978-fbe8-477d-8e2f-eb823ee69149,3,801
172098,2012-03-10,21,d18635d9-cb9a-4e9f-834b-b72537090469,3,1026
178330,2012-06-06,23,98f11cfb-2190-4f89-ab66-7de678a25254,2,938
90807,2012-01-17,26,8c88a38f-aa2f-463a-9703-9270bcccc02e,3,1079
79964,2012-09-27,30,3e52f476-fe9d-479e-b814-47adf8d44cee,3,825
72881,2012-04-25,30,e09864e7-6b82-4795-b35c-703951946f55,3,980
148803,2012-05-17,24,53b2f1d8-f2b9-4817-b583-77a7b038f337,3,958
85823,2012-09-10,5,dacdae71-5746-4410-a8e7-fb0b0efb287e,3,842
155731,2012-08-22,1,60c6b27d-1a0c-4f61-9e6b-f002f6c13793,2,861
82081,2012-10-20,7,1b45b45f-19c5-4f74-9028-f1e2391e0c37,2,802
77726,2012-07-10,32,0f2b3989-ca3d-450e-b9ca-c3794649c887,1,904
60435,2012-03-02,1,6468b173-4d20-4c06-851c-b3a26c4c1818,1,1034
63445,2012-01-29,2,99a47e97-2e0b-4b81-993c-b95c06b42747,3,1067
169427,2012-10-16,29,e70265b7-1b41-4881-ae8d-3f22e058d2ee,3,806
81421,2012-12-02,8,fdf97547-b78e-43b7-bb26-579646a2b56f,1,759
117262,2012-06-25,10,3522f3e2-6838-4625-b37c-4dfd612d90ed,2,919
68233,2012-07-21,16,33a88dbc-adbf-4c17-b4cd-0cd31e95fe0d,1,893
55950,2012-08-23,5,b3a84f23-4fa2-4127-9d20-3fc8ab2f39bc,2,860
47679,2012-04-11,15,3fc8273f-9583-4a59-aac6-dcf6c3b23c9c,3,994
147166,2012-05-05,32,a98aff82-e8b6-49dc-9411-3595b1e739a3,1,970
99210,2012-05-20,30,a2bc8912-a3b3-441e-9bd7-df62dbae15aa,2,955
15666,2012-02-11,17,b3431961-e8a6-41e1-a1fb-e3e8fcd9d4d5,2,1054
79384,2012-08-10,26,ee750546-9f65-46d1-a484-bc920cd2108a,3,873
118295,2012-10-16,31,6f4b9f26-94c4-4cc8-9ba6-a3fef4355e6f,3,806
71155,2012-01-10,29,e29958f4-a6f2-4326-8262-3a1e25b0e381,3,1086
42460,2012-12-29,29,e86c00e8-dbed-43ad-82e1-47750774fe69,2,732
57435,2012-06-23,25,b4a0c2f4-7b41-4498-878b-09c2116d261f,2,921
29404,2012-09-11,19,11b3ab41-92c2-4a66-a15b-89b1965c4d0b,3,841
54001,2012-01-01,20,56c5bbb3-179a-489f-a924-feb769923dfd,0,1095
82283,2012-03-20,27,246bdced-34b3-45b0-80c9-1bb2379c9f1a,4,1016
113569,2012-12-17,10,59750327-5806-412f-ad78-9855619be0b8,2,744
131182,2012-07-26,13,9a4f4c45-fe0e-41d8-bc86-f5e70f47ad1c,3,888
94993,2012-07-12,30,0171544c-2a58-43bb-88f1-042354a78d9a,1,902
7992,2012-02-24,4,f9da0497-2d98-44b0-8f85-9b09b422d35c,2,1041
13175,2012-01-29,2,a437144c-5014-4c1f-b36d-daed580f5490,3,1067
157838,2012-03-16,6,f6455423-ddf1-472c-9a13-1b3c75954d7d,1,1020
109358,2012-08-30,19,59284a41-1b18-4674-b047-4adfb59806fb,2,853
41057,2012-08-27,17,fc691afc-b26f-4d41-8a15-87c0a05d1c3d,3,856
34723,2012-02-07,7,2b1588b7-550b-4188-95f9-128e41a4f94b,0,1058
34205,2012-08-20,4,03e24118-05fd-4417-828e-0454b4a01acf,2,863
11599,2012-03-15,1,4134e8c9-28f4-49e8-81cb-12a7f26d84de,2,1021
109051,2012-02-09,29,894bcb01-9726-4a75-a39c-eed9dd1bfa33,4,1056
12413,2012-09-12,1,7d872ef0-49d6-4cc9-af22-47129f7151cf,3,840
36014,2012-12-04,28,a89380f0-8a3d-4783-ad65-1071fea7e472,2,757
36364,2012-03-03,21,84831270-6bcb-49f8-bb40-59766181616d,1,1033
64302,2012-02-10,18,cfba29de-c372-4a52-a96f-f6333e9d867a,2,1055
87368,2012-09-01,27,13ec4e1a-6f2d-4e91-bca0-208e513097d5,0,851
67820,2012-06-20,27,f40b6696-e60b-42c6-8d2b-8c6b137cba1e,1,924
130920,2012-04-13,9,81d418ba-0121-49c1-a333-1b70c8eed2a9,2,992
171230,2012-02-05,22,e54889f4-0b6f-4ae5-85de-85e590eb3619,3,1060
40547,2012-12-14,22,c72e8162-b00b-4bcf-a188-6ae94c3e52d1,1,747
146654,2012-10-03,4,2712a557-80f5-4479-a3d8-239b4d6647d7,2,819
170376,2012-04-04,8,a61478a2-75c5-4ddc-a93f-0d178c51538e,1,1001
176144,2012-08-04,21,2d0bb829-e5b0-4b9c-8afc-4aa63c4d8128,3,879
138690,2012-09-03,13,ea391b61-d26b-439d-b88f-288f1e4a5922,2,849
13859,2012-04-10,10,459437ed-c2ef-45b3-8961-427ef812965e,1,995
79346,2012-07-11,21,284358a1-8bcd-4b29-babb-940b979dd941,3,903
91964,2012-08-31,19,1799bd5e-82f6-4c0b-a531-ab0349baba47,2,852
107187,2012-12-10,29,3d84a6e5-5a4d-4a6e-8004-763345d598d1,3,751
6532,2012-09-20,19,ba575600-ee18-405b-acdb-4e9982795a6d,2,832
20444,2012-03-07,8,68424f4b-3228-49ba-9633-39a51e762461,3,1029
160073,2012-07-16,19,904e3d75-b228-4aaa-814f-ed794fd532e0,4,898
55191,2012-06-15,21,23d9714f-6fda-40b6-a1a9-d2746979e609,3,929
31742,2012-05-22,17,f5ae2426-2a90-49e9-9f4a-48ddc341066f,3,953
9261,2012-09-26,28,0a05fb65-56ad-434e-845d-27c2a3713f55,1,826
35244,2012-05-20,19,c4e8a511-db97-4421-9348-6f144d479e36,2,955
154429,2012-01-21,2,7bfbcd9a-6d98-4b50-ad72-7bfda774c091,0,1075
7147,2012-06-15,31,7dd4607b-38ac-4e55-b20b-5aca7924e544,0,929
161522,2012-12-13,20,a0d4f266-7612-45e6-a878-42a2b8c179b9,1,748
34613,2012-05-18,4,46c8d84e-2d68-4438-a4fa-30fc8f3c887c,2,957
167116,2012-08-26,11,3d177160-0bb9-41cd-9ab1-d8f8f1493482,3,857
134847,2012-02-18,18,b7e08487-9d41-49d6-a641-06bd6641e1de,2,1047
167682,2012-12-08,5,28397f50-1c89-452f-ab06-d7cd557e982c,0,753
122426,2012-01-14,14,a7c64b3e-76c7-4680-ad2c-41235e0f71dd,3,1082
177965,2012-08-09,13,1ea445f0-d060-40f8-acf9-22b8047ac63c,3,874
59636,2012-05-18,15,ff5f287a-6e4c-4a52-9f12-ff3a6d1b08c6,1,957
20717,2012-03-12,1,8083579f-8f1b-4e13-a25f-14648364e7fb,2,1024
173812,2012-08-10,28,88fb90bd-507c-428d-b955-8e990e09770c,2,873
74817,2012-02-05,27,bdb310ce-95f9-418e-90f5-40eeaedce804,1,1060
144212,2012-05-31,26,9b0224d5-0534-40a8-8c0d-fc42efcbfc5a,3,944
84148,2012-12-16,19,a4cea878-efa5-485d-b04e-00f31ef8b546,0,745
168374,2012-06-22,20,72ad44c2-3565-4e2d-823e-dc7f89a1737a,4,922
117145,2012-05-31,7,b7c63cc7-a3db-4117-ac8a-bbd26d12bf04,0,944
124996,2012-12-23,24,3d5657fb-86c4-4bba-91e3-07d049d666f0,2,738
102775,2012-03-31,9,2033c482-adae-4ad4-8664-47161aaceb7f,4,1005
30991,2012-01-08,12,24720ef4-961f-4ff0-b8c1-521e7ae73a29,2,1088
64978,2012-09-23,20,b9c965ff-dcdc-4052-957d-53d9aadd02bc,3,829
175569,2012-07-22,11,0b005974-d1b0-42b8-86a8-ad03e554ea4e,4,892
86740,2012-06-10,19,15e1cd77-34d4-40be-a2eb-0f1b982e0ffb,3,934
143571,2012-06-17,29,fb108ed5-b7d1-42bc-acd2-8a871984de74,3,927
94909,2012-11-01,18,8970d958-2bcc-41f7-9b85-697e966bb554,4,790
49620,2012-02-07,22,f93a31bd-0343-408a-86a0-7e7ccd76c9d1,3,1058
73674,2012-08-08,19,bfbac148-fb50-485c-847c-e4b08d3bc01c,2,875
34999,2012-05-28,16,2d106d14-a5f3-4f99-86b9-808a80f55007,2,947
169970,2012-07-30,31,7812338f-fd96-424e-a9fb-4d66319a6a19,0,884
107093,2012-05-10,12,c3720d7b-edc7-472b-b2f6-e9ad9487ddfd,3,965
176655,2012-08-17,11,c20d4ae1-06f8-439c-a36a-92c24e951a0d,1,866
174572,2012-09-11,31,c4fb51b0-a7ad-463d-bd06-bfb408e2b656,2,841
85604,2012-11-13,4,ec1cdd33-c0e4-457a-acca-1a55e351c7be,1,778
33878,2012-07-26,11,384f228a-7766-47bc-bc56-6db106889dc7,4,888
9559,2012-10-26,23,fa5037d1-f5d5-4293-871f-4dd2ecf9ad06,3,796
176226,2012-09-18,5,f1d6ac6e-dcfb-4e32-96c6-2a77463f8a30,2,834
130556,2012-05-07,6,572291a1-1911-454b-8296-c002542a40c7,4,968
45991,2012-06-23,2,83eaa440-7893-490f-9b06-f48097dd1882,3,921
152701,2012-11-29,9,31447f42-efe3-4c52-91be-d5c2383ebbaf,1,762
44950,2012-03-31,32,fd105616-315a-496f-acd3-bc834a89edde,4,1005
154583,2012-02-27,5,8b97e825-e427-492d-bd4a-3534ff4e784f,2,1038
168432,2012-06-20,11,c53d31fb-9112-4bcd-a603-55cd510e72bc,3,924
154025,2012-08-18,20,80dbf03f-7834-40d7-b3ef-e2e23ecf4fd5,3,865
19310,2012-04-03,15,1306733a-96ef-4a0d-89a2-ebf3c92cb0ee,2,1002
7693,2012-10-31,31,6032ec51-a479-4f41-98bf-59bb2eecbaa1,4,791
51151,2012-11-02,13,891c506b-a1c2-491e-be09-4110a0db2cb3,1,789
8017,2012-12-22,13,c9321957-ee54-4821-8620-d44282f8922f,1,739
112024,2012-03-09,17,3d5af620-98bd-4486-964d-0dff8585e1df,4,1027
173323,2012-07-07,28,29a4cd05-4a27-4daa-a033-868019a1b05c,4,907
75984,2012-01-18,26,3e57656e-1259-4b59-8365-86fe6ed8a11a,4,1078
23529,2012-03-14,31,5397056c-c8f8-4525-aaff-0002f3763081,2,1022
10444,2012-09-01,18,31505b32-465e-4197-a8b9-c187bc6f2fe1,3,851
100367,2012-10-25,11,856c21e6-1ba0-4671-9d0b-c3238e3143a7,2,797
136221,2012-05-21,6,0cf20684-9847-4f01-9e06-5d859f4422e8,0,954
105010,2012-11-15,14,5a0d3217-5f8f-40e7-b55d-25e3757d9d9e,2,776
146243,2012-06-29,12,524f252e-ece2-4708-825a-f8b79620b404,2,915
54141,2012-02-18,31,2956e0b6-d34b-4a05-bb36-58c68199b7e6,1,1047
94256,2012-09-02,17,f5b603fe-280d-4e0c-8385-29c1531ba49a,1,850
6327,2012-09-08,2,b098a939-0ab4-44e7-ac5a-8fa47746275f,3,844
65468,2012-11-17,17,662fb107-503c-4cb2-a9fa-dcb0ab6ce4a8,1,774
9427,2012-07-04,3,97ddf375-5914-41a9-9815-284b4c872d34,0,910
176306,2012-02-11,32,963ed74d-9d75-44af-acb7-0f282ff9a443,3,1054
40945,2012-02-02,11,5d8a0b89-addc-4378-80f9-2ea93b2cdc35,3,1063
85356,2012-12-10,26,6d269bd3-8512-43d5-80fd-a4cd68299340,1,751
44507,2012-07-31,25,872b63b6-ba65-4ba1-a21e-a77537436c38,1,883
71168,2012-02-26,1,3ecea40a-02ff-4bba-a29f-4b59f6b1aefd,2,1039
56027,2012-05-11,5,ad55eae9-cfac-4a79-a4f0-249158f627cb,0,964
142856,2012-08-17,7,eccad27c-d900-4243-aef1-6a244ac66cbe,2,866
32734,2012-05-21,16,2b2143e0-bdf9-4b75-81cb-f532032f2b53,2,954
91006,2012-01-23,1,2af94d8b-2d08-481a-b59c-fb252d126adb,1,1073
80311,2012-10-04,19,123c63d4-cfe2-4a2a-b8bb-85540d09e949,0,818
