Age,Job,Marital_Status,Education,Default_On_Payments,Housing,Loan,Contact,Last_Int_Duration,Int_Nr_Campaign,Passed_Days_Last_Int,Int_Prior_Campaign,Last_Campaign_Outcome,Rate_Change_Employment,Cons_Price_Idx,Cons_Conf_Idx,Euribor_3_Months,Nr_Employed,Product_Or_Service,Date,Contact_Year,Contact_Month,Contact_Day,Quarter,Income,Customer_Seniority,Numwebvisitsmonth,Total_Children,Customer_Seniority_Days,Id
39.0,blue-collar,married,basic_6_years,No,Yes,Yes,telephone,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-03-29,2019,3,Friday,1,106688,2012-01-22,5,2,1074,714f78d0-c23e-40ff-b892-bfeacc4223f8
50.0,blue-collar,married,basic_9_years,No,Yes,Yes,telephone,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-10-25,2018,10,Thursday,4,99745,2012-12-11,20,4,750,4b568fd1-8690-48a4-a1e5-7497bb533047
39.0,management,single,basic_9_years,No,No,No,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-07-01,2017,7,Saturday,3,173275,2012-04-17,26,2,988,74bf1569-4bdb-49e4-98ba-c1c607d90596
30.0,unemployed,married,high_school,No,No,No,telephone,38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-04-20,2017,4,Thursday,2,32331,2012-02-27,28,3,1038,e9170af6-b4f8-4700-b954-836f94372fd8
55.0,blue-collar,married,basic_4_years,No,Yes,No,telephone,262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-08-11,2016,8,Thursday,3,158116,2012-10-08,21,2,814,47591c83-e88b-40c2-bb8e-de40b94a44cb
55.0,retired,single,high_school,No,Yes,No,telephone,342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-12-24,2019,12,Tuesday,4,38474,2012-03-20,2,0,1016,1c85ef8a-60a1-424d-804c-f712ccd612cc
39.0,technician,single,high_school,No,Yes,No,telephone,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-06-10,2015,6,Wednesday,2,179682,2012-09-26,17,2,826,f480284a-908b-4575-9ce5-28b396d54e36
37.0,admin.,married,high_school,No,Yes,No,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-05-19,2017,5,Friday,2,49728,2012-02-07,12,3,1058,2a14bcd3-a981-45c2-ac76-79323567627c
35.0,technician,married,university_degree,No,No,Yes,telephone,99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-03-19,2018,3,Monday,1,176324,2012-04-04,1,1,1001,c298253f-fcd6-45cb-a6b0-9815ec3e7c13
39.0,technician,married,unknown,No,Yes,No,telephone,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-09-25,2016,9,Sunday,3,104766,2012-12-19,32,2,742,cbf9c247-762f-40f9-a351-a7e686ac7488
39.0,self-employed,married,basic_9_years,No,No,No,telephone,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-11-23,2016,11,Wednesday,4,118851,2012-02-08,30,2,1057,b4861606-8206-4f41-acd5-63b48d5596a1
54.0,technician,single,university_degree,No,No,No,telephone,255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-12-05,2016,12,Monday,4,54609,2012-01-08,25,2,1088,f52b8aff-2bab-496e-9b18-95925894c0ed
55.0,,married,university_degree,No,,,telephone,362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-07-01,2015,7,Wednesday,3,75488,2012-08-30,26,2,853,943bc97d-2618-4ba3-b2dc-5a3d1571446a
46.0,admin.,married,unknown,No,No,No,telephone,348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-12-20,2019,12,Friday,4,172888,2012-11-01,10,3,790,61bec99d-c1d2-4231-aa6a-37a002c9af42
59.0,technician,married,unknown,No,Yes,No,telephone,386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-04-14,2019,4,Sunday,2,90838,2012-05-10,7,1,965,9eaba08c-51a8-477f-93b6-ad65fb0b6f03
49.0,blue-collar,married,unknown,No,No,No,telephone,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-01-04,2019,1,Friday,1,20361,2012-11-14,32,2,777,69cb4917-d4e6-456f-a840-c5c411bac44c
54.0,management,married,basic_4_years,No,Yes,No,telephone,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-10-05,2019,10,Saturday,4,128876,2012-10-06,1,2,816,a028192c-3c95-4935-aa95-06515e5fd38d
39.0,blue-collar,divorced,basic_4_years,No,No,No,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-12-18,2019,12,Wednesday,4,121937,2012-10-29,21,4,793,ebf703d5-d980-47bc-a8eb-6de16260483f
55.0,,married,basic_4_years,No,Yes,No,telephone,336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-02-11,2018,2,Sunday,1,73868,2012-02-29,14,2,1036,7aeeda6f-95df-402b-a8d8-817764f4dafe
34.0,services,married,high_school,No,No,No,telephone,365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-10-17,2019,10,Thursday,4,83851,2012-10-18,12,2,804,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9
52.0,technician,married,basic_9_years,No,Yes,No,telephone,1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-12-11,2015,12,Friday,4,71669,2012-04-16,26,4,989,a7eb98b2-0163-4375-a6a5-40b5f2ce6428
41.0,admin.,married,university_degree,No,Yes,No,telephone,577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-04-26,2019,4,Friday,2,50412,2012-05-05,2,0,970,a9280a68-5b1e-448c-98c9-271eba3e4a30
56.0,technician,married,basic_4_years,No,Yes,No,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-04-23,2017,4,Sunday,2,35940,2012-11-15,15,1,776,b1d3e69b-43f5-4983-ba00-37dcc3979e84
58.0,management,,university_degree,No,Yes,No,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-09-15,2015,9,Tuesday,3,131696,2012-12-23,3,2,738,e03dc123-10b3-42f2-9d18-c26a53c7a473
32.0,entrepreneur,married,high_school,No,Yes,No,telephone,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-12-29,2018,12,Saturday,4,55182,2012-11-20,7,2,771,41f0832d-fea4-47dc-81c3-ad5a528a2fb7
38.0,admin.,single,professional_course,No,No,No,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-03-12,2015,3,Thursday,1,170859,2012-04-11,28,4,994,dd9279a9-2d85-4f87-b87b-560f5224d46a
39.0,admin.,married,university_degree,No,No,Yes,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-06-06,2019,6,Thursday,2,65477,2012-09-10,24,0,842,45576313-a078-48e8-803c-b5fec072ee53
44.0,admin.,married,university_degree,No,Yes,No,telephone,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-01-05,2015,1,Monday,1,122815,2012-05-14,28,3,961,f2e69637-04fb-4d2d-813e-b15e061776e9
42.0,technician,single,professional_course,No,No,No,telephone,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-01-08,2017,1,Sunday,1,52087,2012-03-09,13,2,1027,01d47e8f-32e7-4fd8-8188-2761a09f42bb
57.0,admin.,married,university_degree,No,Yes,Yes,telephone,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-10-15,2016,10,Saturday,4,136434,2012-07-03,3,2,911,170ae51e-abde-4832-a157-f1bf0f630e83
40.0,blue-collar,married,basic_9_years,No,No,Yes,telephone,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-08-15,2017,8,Tuesday,3,48855,2012-08-21,11,3,862,6beb1eea-2343-42c1-9881-378c64cf08e5
35.0,admin.,married,university_degree,No,Yes,No,telephone,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-12-19,2015,12,Saturday,4,14091,2012-03-23,15,3,1013,6155f7ed-fc77-4de5-8f66-386c9a85d74a
45.0,blue-collar,married,basic_9_years,No,Yes,No,telephone,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-05-15,2018,5,Tuesday,2,49376,2012-11-21,18,3,770,652ef647-2ee2-4afd-8cd1-105ff08b9dfb
54.0,admin.,married,high_school,No,No,No,telephone,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-05-23,2019,5,Thursday,2,141524,2012-01-10,32,3,1086,89d515a3-7191-4a7c-b166-692bd3eb0e2e
39.0,housemaid,married,basic_4_years,No,No,Yes,telephone,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-10-02,2015,10,Friday,4,139751,2012-06-23,15,2,921,d43355a7-b518-46f4-8713-b9daba3e586f
60.0,admin.,married,high_school,No,No,No,telephone,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-07-20,2019,7,Saturday,3,175358,2012-07-27,8,3,887,b575bf38-fde5-4980-a253-e5d2a7c6622d
39.0,admin.,single,professional_course,No,No,No,telephone,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-10-22,2016,10,Saturday,4,43378,2012-01-13,14,1,1083,fc488ebf-de25-4108-a5e0-881010bcb6db
55.0,blue-collar,married,basic_4_years,No,No,No,telephone,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-07-24,2016,7,Sunday,3,171806,2012-04-01,26,3,1004,a53d19c6-cc04-4e56-936c-2af714cb0691
39.0,technician,married,professional_course,No,Yes,No,telephone,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-02-04,2017,2,Saturday,1,82735,2012-09-15,5,3,837,b49bf23e-16c4-4e10-8bad-cff8277af141
50.0,management,married,university_degree,No,No,Yes,telephone,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-12-03,2018,12,Monday,4,21488,2012-07-13,29,3,901,3cd59535-e982-46ec-8bdb-5540b42f98c7
45.0,services,married,high_school,No,Yes,No,telephone,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-11-16,2018,11,Friday,4,165897,2012-11-28,3,3,763,b9e57bd9-32b6-48db-be0b-399968bb4458
55.0,unemployed,married,professional_course,No,Yes,Yes,telephone,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-08-08,2018,8,Wednesday,3,20845,2012-09-27,1,4,825,c70bda4e-ab87-48ad-a248-c654a465ba18
25.0,technician,single,university_degree,No,Yes,No,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-11-22,2018,11,Thursday,4,42782,2012-05-14,15,1,961,df2754f0-ab9d-4392-969f-255be30bcf95
39.0,entrepreneur,married,university_degree,No,No,No,telephone,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-01-13,2016,1,Wednesday,1,140136,2012-07-18,14,4,896,4c4427bf-a4b4-4127-a461-a0db67bb5508
51.0,blue-collar,married,basic_9_years,No,Yes,No,telephone,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-04-15,2015,4,Wednesday,2,76853,2012-11-12,23,2,779,356fc69e-a248-4af2-ae28-c2c8d3aa779d
39.0,blue-collar,married,basic_6_years,No,Yes,No,telephone,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-10-08,2018,10,Monday,4,61337,2012-02-24,7,1,1041,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707
42.0,blue-collar,married,basic_6_years,No,No,No,telephone,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-30,2017,9,Saturday,3,178376,2012-06-10,18,2,934,4d0f692b-c599-45a2-b496-3b4fb0ca3a41
48.0,admin.,married,high_school,No,No,No,telephone,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-06-07,2017,6,Wednesday,2,83568,2012-01-06,18,2,1090,d8ea4803-4a98-402e-a522-03302ef278b5
37.0,admin.,married,university_degree,No,No,No,telephone,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-10-26,2019,10,Saturday,4,114438,2012-06-06,32,1,938,472c21b6-733b-448a-b97e-0899d471b051
39.0,blue-collar,single,basic_9_years,No,Yes,No,telephone,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-10-07,2019,10,Monday,4,128341,2012-10-29,13,2,793,c2c2c999-1f3d-48ac-9a17-562777356f88
39.0,admin.,married,unknown,No,Yes,No,telephone,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-03-29,2019,3,Friday,1,26244,2012-05-18,16,2,957,f9b67e3e-db2e-4089-85e1-df5462319653
56.0,admin.,married,basic_9_years,No,Yes,No,telephone,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-02-08,2017,2,Wednesday,1,130764,2012-03-30,8,1,1006,ff8b1cfe-0ee6-4a62-ad9d-d602427107c7
39.0,blue-collar,single,basic_4_years,No,Yes,Yes,telephone,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-17,2017,9,Sunday,3,141859,2012-02-06,4,3,1059,c5bee864-d04c-4e58-a813-8239b67d6345
41.0,management,married,basic_6_years,No,No,No,telephone,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-10-24,2018,10,Wednesday,4,55445,2012-10-05,21,2,817,c9264446-deae-4147-87a6-7f6d53a50af0
44.0,management,divorced,university_degree,No,Yes,No,telephone,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-01-05,2016,1,Tuesday,1,77947,2012-04-29,11,2,976,5df79f8e-3ec3-48f9-bbff-b21447c79099
47.0,admin.,married,university_degree,No,Yes,No,telephone,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-07-12,2018,7,Thursday,3,67439,2012-03-05,9,1,1031,6444da89-9436-4b09-ad38-159551c260e3
57.0,,married,unknown,No,No,No,telephone,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-06-18,2018,6,Monday,2,80033,2012-01-15,11,0,1081,6e4cd355-435a-4d7b-b2f5-92d64c706a05
37.0,admin.,married,university_degree,No,Yes,No,telephone,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-01-22,2015,1,Thursday,1,93745,2012-07-16,27,2,898,d3fd430a-83ab-48fb-ad0f-29219a273d56
41.0,blue-collar,divorced,basic_4_years,No,Yes,No,telephone,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,2017-02-14,2017,2,Tuesday,1,51945,2012-05-16,32,2,959,52fe0cf8-74be-4760-a5fe-ac78c82cfe52
55.0,technician,married,university_degree,No,No,No,telephone,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-07-31,2017,7,Monday,3,177873,2012-07-13,11,0,901,fd488945-dcb1-4c93-ae06-2b2378db0bd0
39.0,services,married,high_school,No,Yes,No,telephone,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-10-04,2018,10,Thursday,4,121966,2012-08-08,31,2,875,983b0a18-7d54-4900-bc06-ba7b30e17f49
55.0,management,married,unknown,No,Yes,No,telephone,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-05,2017,9,Tuesday,3,167586,2012-02-12,18,1,1053,be6c8341-fb40-4158-8d62-81fb98648760
42.0,blue-collar,married,basic_9_years,No,No,No,telephone,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-02-07,2016,2,Sunday,1,70480,2012-08-19,13,3,864,f583f88c-58de-40db-bcae-b2b9105fa153
50.0,blue-collar,married,basic_4_years,No,Yes,No,telephone,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-08-19,2018,8,Sunday,3,18714,2012-08-10,23,4,873,cc1029bd-87da-4de0-8735-a3b090df62c0
51.0,blue-collar,married,basic_4_years,No,,,telephone,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-05-14,2015,5,Thursday,2,74584,2012-08-27,14,1,856,cf01e33c-2eb7-4020-8c72-879d3489bfa1
38.0,admin.,married,high_school,No,No,No,telephone,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-01-13,2019,1,Sunday,1,7462,2012-08-20,21,4,863,e6382798-c0b1-4337-af1b-ee9196f5c831
49.0,entrepreneur,married,university_degree,No,Yes,No,telephone,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,2016-11-23,2016,11,Wednesday,4,153359,2012-11-15,9,2,776,d3ea4624-cbe7-40bf-8324-cc3c763f0e80
38.0,technician,single,university_degree,No,No,Yes,telephone,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-09-10,2016,9,Saturday,3,138685,2012-12-25,20,2,736,d652e74e-8e59-4eb0-ada7-512f3d11ea40
31.0,admin.,divorced,high_school,No,No,No,telephone,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-06-18,2017,6,Sunday,2,116608,2012-07-20,13,1,894,18060794-5ed8-44ab-8b30-ceb9cc3222fd
39.0,management,married,basic_6_years,No,No,No,telephone,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-08-28,2017,8,Monday,3,14417,2012-07-30,1,1,884,360a3c07-d566-4079-9550-6c6c6422f5f2
39.0,admin.,married,university_degree,No,Yes,Yes,telephone,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-11-18,2018,11,Sunday,4,99031,2012-08-28,21,0,855,1246ce73-1096-4b01-b971-0bffb7ca7fee
49.0,technician,married,basic_9_years,No,No,No,telephone,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,2015-05-17,2015,5,Sunday,2,93507,2012-10-19,15,3,803,01fe1411-bb08-4ae3-8252-0e7385580955
34.0,admin.,married,high_school,No,Yes,No,telephone,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-10-26,2016,10,Wednesday,4,68707,2012-02-09,16,1,1056,1a7cb055-189b-4261-a521-bd11ec6ab304
35.0,admin.,married,university_degree,No,Yes,No,telephone,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-08-27,2016,8,Saturday,3,119162,2012-07-09,1,1,905,a068e668-ee92-47ab-94b3-2c6f0660c267
39.0,,married,unknown,No,Yes,No,telephone,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-30,2017,9,Saturday,3,74474,2012-09-04,13,3,848,1d488b7c-d680-4210-87f4-caab6d9ee03f
60.0,admin.,married,unknown,No,No,Yes,telephone,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-02-23,2019,2,Saturday,1,111496,2012-02-18,19,2,1047,27c0a2c1-7538-4097-a0c8-501fbf55dfee
33.0,unemployed,married,basic_9_years,No,No,No,telephone,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-12-03,2018,12,Monday,4,95189,2012-07-18,22,0,896,3e29229f-9ee7-455c-b623-63250793db56
42.0,blue-collar,married,basic_6_years,No,No,Yes,telephone,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-09-20,2017,9,Wednesday,3,45768,2012-06-17,21,2,927,8e84714f-4768-41e6-bc2b-2dff581e12b8
45.0,services,married,professional_course,No,Yes,No,telephone,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-08-17,2015,8,Monday,3,122783,2012-11-03,3,0,788,aa9a96e2-a1f0-48b9-bd12-0d082fc65f56
42.0,management,married,university_degree,No,No,No,telephone,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-11-28,2018,11,Wednesday,4,98678,2012-12-02,31,0,759,9eada552-2e0f-4e25-bc52-86b419bcf3b8
53.0,admin.,divorced,university_degree,No,No,No,telephone,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-12-08,2016,12,Thursday,4,21072,2012-07-09,21,0,905,3da2368a-8b67-4b7e-bf51-0499b71369dc
37.0,technician,single,professional_course,No,No,No,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-05-19,2016,5,Thursday,2,60378,2012-09-14,18,3,838,c96f9121-6f02-44bd-aa3c-4da573414177
44.0,blue-collar,married,basic_6_years,No,No,No,telephone,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-07-29,2018,7,Sunday,3,145871,2012-08-13,8,2,870,73dae94a-e882-4845-aa30-0aaff25d2a17
54.0,services,married,unknown,No,Yes,No,telephone,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-12-01,2018,12,Saturday,4,109725,2012-08-03,13,1,880,7aa43513-2461-455c-9430-9afb22f3a22d
49.0,blue-collar,married,basic_4_years,No,No,No,telephone,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-12-21,2017,12,Thursday,4,96711,2012-03-07,29,0,1029,18b0c404-331a-4a68-90bc-0494a082f62d
54.0,services,married,unknown,No,No,No,telephone,400,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-12-22,2015,12,Tuesday,4,12244,2012-01-26,28,0,1070,012204f4-fca9-4bcb-a64d-808135727728
52.0,admin.,divorced,university_degree,No,No,No,telephone,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2018-04-18,2018,4,Wednesday,2,36606,2012-06-27,27,2,917,33803ffa-fb03-4f0f-9f5c-3f2b9a28bc93
52.0,admin.,divorced,university_degree,No,No,No,telephone,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2015-08-26,2015,8,Wednesday,3,154051,2012-11-09,18,4,782,834fda51-1ba3-4290-8be6-b59479dfb43b
43.0,services,single,high_school,No,No,No,telephone,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2017-06-25,2017,6,Sunday,2,29727,2012-09-28,2,3,824,4dfcd68a-ccd2-4388-812c-c243a4b60254
34.0,housemaid,married,basic_6_years,No,Yes,No,telephone,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2016-10-06,2016,10,Thursday,4,54061,2012-05-23,7,4,952,f2ab895d-7487-4b68-b9e8-7ab8e734bd47
35.0,admin.,married,high_school,No,Yes,No,telephone,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,2019-11-21,2019,11,Thursday,4,127139,2012-02-11,1,0,1054,9375d7ce-9370-402c-aed1-a4c1e814aaba
